graph,mode,b,agent_id,agent_role,degree,n_replications,p_mean,ci_lower,ci_upper,std,se
wheel_graph,stateless,3.0,0,Hub,4.0,40,0.024654999375343323,0.023955000564455986,0.025380000472068787,0.00233580288477242,0.0003693228640536339
wheel_graph,stateless,3.0,1,Rim,3.0,40,0.02516999840736389,0.024664999917149544,0.02567012794315815,0.0016849628882482648,0.00026641602498601386
wheel_graph,stateless,3.0,2,Rim,3.0,40,0.02556000091135502,0.02485000155866146,0.02626512572169304,0.0022778059355914593,0.00036015274121599025
wheel_graph,stateless,3.0,3,Rim,3.0,40,0.02496499940752983,0.02430500090122223,0.025624999776482582,0.0021189088001847267,0.00033502889813791725
wheel_graph,stateless,3.0,4,Rim,3.0,40,0.02480500005185604,0.024220000952482224,0.0253749992698431,0.0018619814654812217,0.00029440511959694235
wheel_graph,stateless,5.0,0,Hub,4.0,40,0.024654999375343323,0.023919999599456787,0.02536500059068203,0.00233580288477242,0.0003693228640536339
wheel_graph,stateless,5.0,1,Rim,3.0,40,0.02519499883055687,0.024675000458955765,0.025715123862028122,0.001693214406259358,0.0002677207045394617
wheel_graph,stateless,5.0,2,Rim,3.0,40,0.02556999959051609,0.02488500066101551,0.02626500092446804,0.0022823454346507788,0.00036087049903917235
wheel_graph,stateless,5.0,3,Rim,3.0,40,0.02497999742627144,0.024320000782608986,0.025634998455643654,0.0021221686620265245,0.0003355443275517949
wheel_graph,stateless,5.0,4,Rim,3.0,40,0.024819999933242798,0.024255001917481422,0.0254100002348423,0.0018573098350316286,0.0002936664699665768
